,offer_name,link_to_offer,price,country,placed,condition
121,Pandemic Legacy: Season 1 (German second blue edition) (2016),https://boardgamegeek.com/geekmarket/product/1879329,€49,germany,7 months ago,N
122,Pandemic Legacy: Season 1 (Italian red edition) (2015),https://boardgamegeek.com/geekmarket/product/1875408,€60,germany,8 months ago,N
123,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/1872641,$50,germany,8 months ago,N
124,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/1804774,$30,germany,10 months ago,LN
125,Pandemic Legacy: Season 1 (German second blue edition) (2016),https://boardgamegeek.com/geekmarket/product/1772816,€50,germany,1 year ago,N
126,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/1734323,$55,germany,1 year ago,LN
127,Pandemic Legacy: Season 1 (English red edition with 2016 KDJ sticker),https://boardgamegeek.com/geekmarket/product/1729625,$53,germany,1 year ago,N
128,Pandemic Legacy: Season 1 (German second blue edition) (2016),https://boardgamegeek.com/geekmarket/product/1725918,€50,germany,1 year ago,N
129,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/1720837,€75,germany,1 year ago,LN
130,"Pandemic Legacy: Season 1 (English red edition, second printing) (2015)",https://boardgamegeek.com/geekmarket/product/1698789,$63,germany,1 year ago,N
131,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/1697973,$63,usa,1 year ago,N
132,Pandemic Legacy: Seizoen 1 (Dutch blue edition) (2015),https://boardgamegeek.com/geekmarket/product/1689163,€48,usa,1 year ago,N
133,Pandemic Legacy: Seizoen 1 (Dutch red edition) (2015),https://boardgamegeek.com/geekmarket/product/1689162,€48,usa,1 year ago,N
134,"Pandemic Legacy: Season 1 (English red edition, first printing) (2015)",https://boardgamegeek.com/geekmarket/product/1590693,$60,usa,1 year ago,N
135,"Pandemic Legacy: Season 1 (English red edition, first printing) (2015)",https://boardgamegeek.com/geekmarket/product/1491708,€73,usa,2 years ago,N
136,"Pandemic Legacy: Season 1 (English red edition, first printing) (2015)",https://boardgamegeek.com/geekmarket/product/1458678,$54,usa,2 years ago,N
137,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/1456845,$45,usa,2 years ago,LN
138,"Pandemic Legacy: Season 1 (English red edition, first printing) (2015)",https://boardgamegeek.com/geekmarket/product/1392377,$90,usa,2 years ago,N
139,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/1392374,$90,usa,2 years ago,N
140,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/1379335,$63,usa,2 years ago,N
141,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/1309762,$70,usa,2 years ago,N
142,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/1278715,$30,usa,2 years ago,VG
143,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/1224060,$55,usa,3 years ago,LN
144,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/1223982,€75,usa,3 years ago,N
145,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/1048959,$60,usa,3 years ago,N
146,"Pandemic Legacy: Season 1 (English red edition, first printing) (2015)",https://boardgamegeek.com/geekmarket/product/1026484,$55,usa,3 years ago,N
147,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/1026482,$55,usa,3 years ago,N
148,Pandemic Legacy: Season 1 (German second blue edition) (2016),https://boardgamegeek.com/geekmarket/product/964700,€59,usa,1 year ago,N
149,"Pandemic Legacy: Season 1 (English red edition, first printing) (2015)",https://boardgamegeek.com/geekmarket/product/945473,$70,usa,4 years ago,N
150,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/945472,$70,usa,4 years ago,N
151,Pandemic Legacy: Season 1 (German first blue edition) (2015),https://boardgamegeek.com/geekmarket/product/928319,€120,switzerland,4 years ago,N
152,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/902787,$80,switzerland,4 years ago,N
153,"Pandemic Legacy: Season 1 (English red edition, first printing) (2015)",https://boardgamegeek.com/geekmarket/product/900474,$110,switzerland,4 years ago,N
154,"Pandemic Legacy: Season 1 (English red edition, first printing) (2015)",https://boardgamegeek.com/geekmarket/product/813787,€73,switzerland,4 years ago,N
155,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/813786,€73,switzerland,4 years ago,N
156,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/2071560,$30,usa,3 days ago,VG
157,the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/2067015,$39,usa,8 days ago,Through
158,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/2063055,$35,usa,11 days ago,VG
159,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/2055641,$38,usa,19 days ago,LN
160,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/2050935,£27,usa,21 days ago,VG
161,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/2049110,$50,usa,23 days ago,LN
162,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/2039739,$30,usa,1 month ago,LN
163,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/2036998,€30,usa,1 month ago,VG
164,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/2027849,$29,usa,2 months ago,LN
165,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/2026925,£35,usa,2 months ago,N
166,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/2016685,€40,latvia,2 months ago,LN
167,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/2015938,€45,latvia,2 months ago,N
168,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/2009775,£27,latvia,2 months ago,LN
169,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/2003800,C$50,latvia,3 months ago,N
170,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1996685,€46,latvia,3 months ago,N
171,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/1987259,€55,latvia,3 months ago,N
172,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/1983630,€43,latvia,3 months ago,N
173,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1979138,$55,latvia,4 months ago,N
174,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/1972362,$54,latvia,4 months ago,N
175,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1965835,£35,latvia,4 months ago,N
176,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/1958038,$40,usa,5 months ago,LN
177,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1947448,£30,usa,5 months ago,LN
178,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1884645,$49,usa,7 months ago,N
179,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1856513,€39,usa,8 months ago,N
180,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/1851464,$35,usa,9 months ago,N
181,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1851324,$60,usa,9 months ago,N
182,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1848711,$39,usa,9 months ago,VG
183,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1845209,£35,usa,9 months ago,LN
184,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/1825411,C$60,usa,10 months ago,LN
185,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1803446,$40,usa,10 months ago,VG
186,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1796236,$40,usa,1 year ago,LN
187,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1767615,$29,usa,1 year ago,VG
